# Exported by NS Web Analytics on 2025-12-18 21:51:58
# CSV Version=0.1.0
deviceTime,latitude,longitude,altitude,speed,accuracy,missionId,recordNumber,sourceAddress,destinationAddress,signalStrength,txPower,technology,supportedTechnologies,otaDeviceName,channel,deviceSerialNumber,locationAge,addressType,deviceClass,serviceUuids,companyId
2025-12-18T21:48:32.34404Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,311,62:92:4A:EB:94:C6,,-82,0,,DUAL,,0,eb2c381c6eea8179,4417,,,,
2025-12-18T21:48:32.335412Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,310,C9:5C:04:EC:B4:38,,-98,0,,BR_EDR,BOOMBOX,0,eb2c381c6eea8179,4409,,404,,
2025-12-18T21:48:31.473579Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,309,D5:0E:C0:C6:65:58,,-97,0,,LE,Govee_H6052_6558,0,eb2c381c6eea8179,3547,,,,
2025-12-18T21:48:31.128278Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,308,CE:F8:03:86:07:60,,-88,0,,LE,Govee_H6056_0760,0,eb2c381c6eea8179,3202,,,,
2025-12-18T21:48:30.830112Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,307,5B:2F:02:39:65:C1,,-92,0,,DUAL,,0,eb2c381c6eea8179,2903,,,,
2025-12-18T21:48:28.865956Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,306,98:17:3C:9B:7A:E5,,-78,0,,LE,ihoment_H6008_7AE5,0,eb2c381c6eea8179,939,,,,
2025-12-18T21:48:28.830756Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,305,98:17:3C:AA:4E:27,,-61,0,,LE,ihoment_H6008_4E27,0,eb2c381c6eea8179,904,,,,
2025-12-18T21:48:28.593043Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,304,51:9E:2A:71:A3:44,,-43,0,,DUAL,,0,eb2c381c6eea8179,666,,,,
2025-12-18T21:48:28.590188Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,303,4F:6C:FF:1A:42:F8,,-43,0,,DUAL,,0,eb2c381c6eea8179,664,,,,
2025-12-18T21:48:28.245169Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,302,00:04:EA:3D:7A:F4,,-86,0,,LE,,0,eb2c381c6eea8179,318,,,,
2025-12-18T21:48:28.229152Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,301,48:CA:43:F7:12:CE,,-97,0,,LE,PitPat-T01,0,eb2c381c6eea8179,302,,,,
2025-12-18T21:48:28.214133Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,300,98:17:3C:9E:1B:85,,-58,0,,LE,ihoment_H6008_1B85,0,eb2c381c6eea8179,287,,,,
2025-12-18T21:48:28.208846Z,42.152428,-88.025608,187.5,0,4,NS eb2c381c6eea8179 20251218-154456,299,6C:15:DB:1D:6D:7B,,-81,0,,BR_EDR,[LG] webOS TV OLED65C5PUA,0,eb2c381c6eea8179,282,,43c,,
2025-12-18T21:48:27.629236Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,298,FC:97:A8:67:96:5B,,-91,0,,BR_EDR,JoyXtra-965B,0,eb2c381c6eea8179,8704,,,,
2025-12-18T21:48:27.587277Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,297,98:17:3C:A4:8C:FD,,-56,0,,LE,ihoment_H6008_8CFD,0,eb2c381c6eea8179,8662,,,,
2025-12-18T21:48:27.581936Z,42.152428,-88.025609,187.4,0,5,NS eb2c381c6eea8179 20251218-154456,296,CA:6A:A5:05:8C:27,,-65,0,,LE,Govee_H6604_8C27,0,eb2c381c6eea8179,8656,,,,
